X,Y,Z,Class
2.997697,0.45936495,2.8649073,0
0.1979502,-0.48149315,0.08263157,0
0.062241275,-0.4843823,0.08142077,0
0.21744551,-0.44338408,0.066580705,0
0.20827319,-0.4612675,0.053395115,0
0.13602257,-0.43337172,0.0705066,0
3.0181298,0.44370782,2.8695545,0
0.20329615,-0.49937505,0.09379443,0
0.119954966,-0.46682853,0.06612309,0
3.0460207,0.5036036,2.879819,0
2.9627137,0.48389843,2.8644025,0
2.9498568,0.39836162,2.8765073,0
2.989483,0.44057542,2.8746388,0
2.9325426,0.41147602,2.86048,0
2.8497796,0.34380203,2.854435,0
0.16600302,-0.48399863,0.089952186,0
0.02331317,-0.37564912,0.053210877,0
-0.016181516,-0.38961616,0.0939259,0
0.17088439,-0.52815723,0.10107379,0
0.07273719,-0.37567455,0.077955484,0
0.059165142,-0.40278772,0.08430944,0
0.03674863,-0.38393384,0.07326234,0
0.02674863,-0.37393384,0.06326234,0
2.9772582,0.46069717,2.9085436,0
2.8736112,0.40804842,2.8633032,0
2.995486,0.46764806,2.8812523,0
2.9901905,0.4155229,2.8862877,0
2.8502743,0.4261833,2.872433,0
2.889906,0.43715465,2.8841252,0
2.9451084,0.50064534,2.8912683,0
-0.046274852,-0.06230818,0.05236747,0
-0.335643,0.12473416,0.09199353,0
-0.15011136,-0.005731062,0.063322544,0
-0.23965283,-0.03188829,0.043061897,0
-0.21479435,-0.023766994,0.053273976,0
-3.1068614,0.05195954,2.9367697,0
-0.16825473,0.00998622,0.048777334,0
3.0686393,-0.066393524,2.9284358,0
3.121517,-0.099804215,2.94013,0
3.0984447,-0.066393524,2.9284358,0
2.9358497,-0.113854945,2.903154,0
3.026014,-0.08697746,2.9083269,0
2.9692502,-0.09130778,2.8938458,0
-0.18338594,0.018414032,0.04127955,0
-0.11449666,0.005653298,0.067894176,0
-0.23584618,-0.00502729,0.06888596,0
-0.26250106,0.063082196,0.08148511,0
0.16060849,-0.23407608,-0.031414274,0
0.107946634,-0.3295221,0.02622852,0
0.07169773,-0.31098178,0.03532255,0
3.031141,0.34098637,2.790048,0
3.0303726,0.31150293,2.7815416,0
3.0660057,0.35003385,2.784064,0
0.22321151,-0.35036656,0.0394453,0
2.9912906,0.32867,2.7417157,0
2.9928815,0.34441274,2.7889638,0
2.9510205,0.31201208,2.780414,0
3.0340283,0.3628475,2.7723675,0
2.926624,0.2630695,2.7876875,0
0.09446831,-0.2821964,-0.007046722,0
0.089081205,-0.3879124,0.006154201,0
0.14996836,-0.39392847,0.004522726,0
0.14086653,-0.33859053,0.004527263,0
0.1416092,-0.34415817,-4.77E-05,0
-0.14282481,-0.028543435,0.06327574,0
-0.17827263,-0.031047573,0.045742758,0
-0.31046242,0.046693996,0.0878499,0
-3.1337836,-0.037182447,2.952382,0
3.128907,-0.09563504,2.9319952,0
